,Path,Models,t_leaf,t_downy,Ground truth,p_leaf,p_downy,Predict
22,16-1-1-1(204)_4.npy,maenet,46744,0,0.0,39377.0,0.0,0.0
23,16-1-1-1(208)_12.npy,maenet,14527,3144,0.17791862373380116,31547.0,6769.0,0.17666249
24,16-1-1-1(208)_15.npy,maenet,14370,4518,0.2391994917407878,30053.0,9180.0,0.23398669
25,16-1-1-1(21)_5.npy,maenet,15881,3144,0.1652562417871222,31876.0,7110.0,0.18237317
26,16-1-1-1(210)_10.npy,maenet,7023,4982,0.414993752603082,25067.0,14405.0,0.36494222
27,16-1-1-1(25)_7.npy,maenet,20155,1936,0.0876374994341587,35544.0,3166.0,0.08178765
28,16-1-1-1(25)_8.npy,maenet,18137,2946,0.1397334345207039,32373.0,5648.0,0.14854948
29,16-1-1-1(26)_14.npy,maenet,12108,7724,0.3894715611133522,24689.0,14973.0,0.377515
30,16-1-1-1(26)_15.npy,maenet,12680,6516,0.3394457178578871,26244.0,12287.0,0.3188861
31,16-1-1-1(27)_15.npy,maenet,15633,4149,0.2097361237488626,31853.0,7609.0,0.1928184
32,16-1-1-1(28)_9.npy,maenet,21965,0,0.0,39571.0,0.0,0.0
33,16-1-1-1(30)_12.npy,maenet,7108,1969,0.21692189049245345,29848.0,9131.0,0.23425435
34,16-1-1-1(30)_16.npy,maenet,6907,2248,0.24554888039322775,29019.0,9771.0,0.25189483
35,16-1-1-1(30)_17.npy,maenet,6645,2324,0.25911472850930983,28546.0,10251.0,0.26422146
36,16-1-1-1(30)_24.npy,maenet,7369,1894,0.20446939436467668,30407.0,8958.0,0.22756256
37,16-1-1-1(30)_27.npy,maenet,6820,2137,0.23858434743775817,29154.0,9686.0,0.24938208
38,16-1-1-1(30)_5.npy,maenet,8581,0,0.0,39300.0,0.0,0.0
39,16-1-1-1(30)_6.npy,maenet,8507,0,0.0,39414.0,0.0,0.0
40,16-1-1-1(300)_12.npy,maenet,13235,5997,0.31182404326123125,26806.0,12037.0,0.3098885
41,16-1-1-1(303)_2.npy,maenet,16053,5249,0.24640878790723875,31244.0,8910.0,0.2218957
42,16-1-1-1(308)_16.npy,maenet,13012,5619,0.3015941173313295,27535.0,11800.0,0.2999873
43,16-1-1-1(308)_4.npy,maenet,12208,5746,0.3200401024841261,26452.0,13014.0,0.32975218
44,16-1-1-1(309)_14.npy,maenet,12986,6995,0.35008257844952706,24958.0,14056.0,0.36028093
45,16-1-1-1(310)_1.npy,maenet,5682,6190,0.5213948787061995,18973.0,19695.0,0.5093359
46,16-1-1-1(310)_6.npy,maenet,6912,3078,0.3081081081081081,26759.0,12930.0,0.32578295
47,16-1-1-1(32)_17.npy,maenet,13927,4344,0.23775381752503968,29393.0,8911.0,0.2326389
48,16-1-1-1(32)_2.npy,maenet,15032,2693,0.15193229901269392,32659.0,6014.0,0.15550901
49,16-1-1-1(32)_8.npy,maenet,13461,4089,0.232991452991453,29875.0,9511.0,0.24148175
50,16-1-1-1(37)1_12.npy,maenet,34545,3742,0.09773552380703633,35700.0,3463.0,0.0884253
51,16-1-1-1(38)1_10.npy,maenet,25937,6366,0.19707147942915518,30891.0,7484.0,0.1950228
52,16-1-1-1(38)1_18.npy,maenet,24476,8043,0.2473323287923983,29229.0,10123.0,0.25724232
53,16-1-1-1(39)1_7.npy,maenet,23414,11065,0.3209199802778503,25587.0,12452.0,0.32734826
54,16-1-1-1(40)1_8.npy,maenet,36876,0,0.0,38921.0,0.0,0.0
55,16-1-1-1(403)_10.npy,maenet,27143,9490,0.2590560423661726,29283.0,9705.0,0.24892275
56,16-1-1-1(403)_4.npy,maenet,28330,6270,0.18121387283236995,32610.0,7631.0,0.18963246
57,16-1-1-1(408)_3.npy,maenet,6870,4215,0.38024357239512857,25130.0,13982.0,0.3574862
58,16-1-1-1(409)_17.npy,maenet,7377,4255,0.3658012379642366,25084.0,14017.0,0.35848188
59,16-1-1-1(41)1_1.npy,maenet,36631,0,0.0,39084.0,0.0,0.0
60,16-1-1-1(41)1_10.npy,maenet,36014,545,0.01490740994009683,38244.0,650.0,0.01671209
61,16-1-1-1(42)1_12.npy,maenet,4981,1400,0.21940134775113618,30179.0,8908.0,0.22790186
62,16-1-1-1(42)1_13.npy,maenet,4423,1861,0.29614894971355826,27972.0,10835.0,0.2792022
63,16-1-1-1(42)1_17.npy,maenet,5129,1169,0.1856144807875516,31874.0,7547.0,0.19144619
64,16-1-1-1(42)1_18.npy,maenet,6341,0,0.0,39630.0,0.0,0.0
65,16-1-1-1(42)1_19.npy,maenet,4490,1936,0.30127606598194834,29570.0,10594.0,0.26376855
66,16-1-1-1(42)1_20.npy,maenet,4620,1858,0.2868169188020994,27658.0,11985.0,0.30232322
67,16-1-1-1(42)1_21.npy,maenet,5248,1163,0.181406956793012,31611.0,8505.0,0.21201017
68,16-1-1-1(42)1_25.npy,maenet,4474,1958,0.30441542288557216,27889.0,11471.0,0.291438
69,16-1-1-1(43)1_10.npy,maenet,12461,3792,0.2333107733956808,29523.0,9502.0,0.24348494
70,16-1-1-1(43)1_15.npy,maenet,12998,4224,0.24526768087330159,28735.0,10474.0,0.26713255
71,16-1-1-1(43)1_16.npy,maenet,13222,4436,0.2512175784347038,30994.0,8508.0,0.2153815
72,16-1-1-1(6)_9.npy,maenet,13288,0,0.0,38495.0,0.0,0.0
73,16-1-1-1(7)_8.npy,maenet,12894,0,0.0,38548.0,0.0,0.0
74,16-1-1-1(9)_14.npy,maenet,30457,0,0.0,38954.0,0.0,0.0
75,16-1-1-1_4.npy,maenet,43585,0,0.0,39356.0,0.0,0.0
76,16-1-1-1_7.npy,maenet,41354,0,0.0,39222.0,0.0,0.0
77,16-1-1-2_18.npy,maenet,38192,0,0.0,39380.0,0.0,0.0
78,16-1-1-5_12.npy,maenet,42449,0,0.0,39679.0,0.0,0.0
79,16-1-1-5_2.npy,maenet,41374,0,0.0,39678.0,0.0,0.0
80,IMG_0007_10.npy,maenet,66235,5199,0.07278046868437998,34042.0,3088.0,0.08316725
81,IMG_0007_9.npy,maenet,79445,744,0.009278080534736685,39032.0,303.0,0.0077030635
82,IMG_0009_8.npy,maenet,46971,12938,0.21596087399222152,30381.0,7861.0,0.20555933
83,IMG_0011_11.npy,maenet,56089,8812,0.13577602810434353,33389.0,4842.0,0.12665115
84,IMG_0011_15.npy,maenet,69860,928,0.013109566593207889,38797.0,288.0,0.0073685558
85,IMG_0015_9.npy,maenet,52231,13583,0.206384659798827,29999.0,8025.0,0.21105091
86,IMG_0017_11.npy,maenet,42716,8052,0.15860384494169555,30470.0,6330.0,0.17201087
87,IMG_0017_7.npy,maenet,39012,11811,0.23239478189008914,30332.0,8843.0,0.2257307
88,IMG_0033_11.npy,maenet,61241,0,0.0,39042.0,0.0,0.0
89,IMG_0043_5.npy,maenet,56488,0,0.0,38714.0,0.0,0.0
90,IMG_0043_8.npy,maenet,56810,0,0.0,39047.0,0.0,0.0
91,IMG_0049_3.npy,maenet,45525,1311,0.027991288752241866,36929.0,1088.0,0.028618775
92,IMG_0055_10.npy,maenet,39205,9193,0.18994586553163353,31317.0,6490.0,0.17166133
93,IMG_0063_12.npy,maenet,53859,5918,0.09900128812084916,35524.0,3414.0,0.087677844
94,IMG_0063_6.npy,maenet,58846,0,0.0,39029.0,0.0,0.0
95,IMG_0063_7.npy,maenet,56019,4546,0.07505985305044167,36959.0,2883.0,0.07236083
96,IMG_2073_4.npy,maenet,92369,5704,0.05816075780286113,36816.0,2205.0,0.056508034
97,IMG_2073_9.npy,maenet,81366,17665,0.1783784875443043,32070.0,6236.0,0.16279434
98,IMG_2074_6.npy,maenet,97365,4017,0.03962241818074214,38054.0,1462.0,0.036997672
99,IMG_2076_1.npy,maenet,108937,0,0.0,39406.0,0.0,0.0
100,IMG_2077_3.npy,maenet,92609,8814,0.08690336511442177,35021.0,4550.0,0.11498319
101,IMG_2077_8.npy,maenet,91520,11820,0.11437971743758467,34018.0,5229.0,0.13323312
102,IMG_2078_5.npy,maenet,104581,8635,0.0762701384963256,34647.0,3758.0,0.09785184
103,IMG_2078_7.npy,maenet,100341,8732,0.08005647593813317,35986.0,3394.0,0.08618588
104,IMG_2079_6.npy,maenet,83745,13595,0.13966509143209369,34106.0,5367.0,0.13596636
105,IMG_2082_1.npy,maenet,122326,0,0.0,38720.0,0.0,0.0
106,IMG_2082_3.npy,maenet,110536,7251,0.06156027405401275,37546.0,1871.0,0.04746683
107,IMG_2082_5.npy,maenet,116791,3288,0.027381973534090057,38118.0,1383.0,0.035011772
108,IMG_2084_5.npy,maenet,106512,7263,0.06383651944627554,36688.0,3079.0,0.07742601
109,IMG_2093_10.npy,maenet,12979,5957,0.3145859738065061,26922.0,11587.0,0.3008907
110,IMG_2093_3.npy,maenet,15528,4100,0.2088852659466069,30505.0,8381.0,0.21552745
111,IMG_2093_4.npy,maenet,13518,5784,0.299658066521604,27086.0,12186.0,0.3102974
112,IMG_2093_5.npy,maenet,14560,4980,0.2548618219037871,28663.0,9834.0,0.2554485
113,IMG_2095_1.npy,maenet,10933,10779,0.4964535740604274,20043.0,18760.0,0.4834678
114,IMG_2095_3.npy,maenet,14989,5686,0.27501813784764206,29228.0,9752.0,0.2501796
115,IMG_2096_1.npy,maenet,15198,11631,0.4335234261433523,22451.0,16827.0,0.42840776
116,IMG_2096_3.npy,maenet,18727,8299,0.3070746688374158,26085.0,12509.0,0.32411775
117,IMG_2096_7.npy,maenet,20623,8858,0.30046470608188325,26860.0,12577.0,0.3189137
118,IMG_2096_8.npy,maenet,21337,7204,0.2524088153883886,28467.0,10716.0,0.27348596
119,IMG_2100_1.npy,maenet,29701,3067,0.093597412109375,35719.0,3575.0,0.09098081
120,IMG_2102_2.npy,maenet,20088,8277,0.29180327868852457,27043.0,11793.0,0.30366156
121,IMG_2102_8.npy,maenet,20689,8361,0.2878141135972461,26765.0,12326.0,0.31531554
122,IMG_2105_1.npy,maenet,19061,10264,0.3500085251491901,26277.0,12978.0,0.33060756
123,IMG_2105_10.npy,maenet,18842,8490,0.31062490853212354,26781.0,13044.0,0.32753295
124,IMG_2107_10.npy,maenet,17943,4069,0.18485371615482465,31863.0,6955.0,0.17916946
125,IMG_2107_11.npy,maenet,15245,6292,0.29214839578399965,27668.0,11932.0,0.30131313
126,IMG_2107_3.npy,maenet,15641,6098,0.28050968305809837,27385.0,12135.0,0.3070597
127,IMG_2107_4.npy,maenet,14368,7170,0.3328999907140867,25133.0,14250.0,0.36183125
128,IMG_2108_1.npy,maenet,15055,15828,0.5125149758766959,19400.0,20050.0,0.50823826
129,IMG_2108_5.npy,maenet,24085,7937,0.24786084566860284,28450.0,9757.0,0.25537205
130,IMG_2109_1.npy,maenet,13839,10389,0.42880138682516095,21598.0,16714.0,0.4362602
131,IMG_2113_1.npy,maenet,18079,13900,0.43466024578629725,22478.0,16638.0,0.42535025
132,IMG_2113_15.npy,maenet,18795,11236,0.37414671506110353,24675.0,15125.0,0.38002512
133,IMG_2113_8.npy,maenet,22042,10883,0.33053910402429765,25234.0,13997.0,0.35678416
134,IMG_2114_9.npy,maenet,19541,12002,0.3804964651428209,23787.0,15532.0,0.3950253
135,IMG_2116_10.npy,maenet,35413,0,0.0,38803.0,0.0,0.0
136,IMG_2117_14.npy,maenet,29227,3645,0.1108846434655634,34689.0,4687.0,0.1190319
137,IMG_2120_5.npy,maenet,37695,2797,0.06907537291316804,36169.0,2741.0,0.07044461
138,IMG_2123_14.npy,maenet,23595,5267,0.18248908599542651,30799.0,7789.0,0.20185031
139,IMG_2124_5.npy,maenet,23843,1639,0.06431991209481203,36428.0,2150.0,0.055731244
140,IMG_2125_10.npy,maenet,22304,497,0.02179728959256173,37775.0,1025.0,0.026417525
141,IMG_2125_6.npy,maenet,21489,686,0.03093573844419391,38197.0,1388.0,0.03506379
142,IMG_2126_8.npy,maenet,34913,602,0.016950584260171757,38596.0,477.0,0.012207919
143,IMG_2127_4.npy,maenet,46177,1590,0.0332865786002889,38660.0,2.0,5.173038e-05
144,IMG_2198_14.npy,maenet,72258,0,0.0,39359.0,0.0,0.0
145,IMG_2198_4.npy,maenet,48677,20438,0.2957100484699414,27165.0,11051.0,0.28917208
146,IMG_2198_7.npy,maenet,50818,17993,0.26148435569894346,28809.0,10775.0,0.27220595
147,IMG_2199_8.npy,maenet,45614,18298,0.28629991237952185,27282.0,11482.0,0.29620266
148,IMG_2201_14.npy,maenet,56869,15507,0.2142561069967945,30225.0,8552.0,0.2205431
149,IMG_2203_17.npy,maenet,47298,14289,0.2320132495494179,30219.0,9028.0,0.23003033
150,IMG_2206_12.npy,maenet,76525,5099,0.06246937175340586,36602.0,2339.0,0.06006523
151,IMG_2206_15.npy,maenet,52526,19053,0.26618142192542504,27698.0,10485.0,0.27459866
152,IMG_2207_10.npy,maenet,66404,18807,0.2207109410756827,30752.0,7922.0,0.20484047
153,IMG_2207_7.npy,maenet,85229,0,0.0,38988.0,0.0,0.0
154,IMG_2208_10.npy,maenet,86472,568,0.006525735294117647,39142.0,0.0,0.0
155,IMG_2208_14.npy,maenet,61949,20589,0.2494487387627517,28982.0,9894.0,0.2545015
156,IMG_2214_15.npy,maenet,23486,12108,0.34016969152104287,25402.0,13154.0,0.3411661
157,IMG_2214_2.npy,maenet,23680,12412,0.34389892496952235,25444.0,13119.0,0.34019655
158,IMG_2214_4.npy,maenet,24062,12236,0.33709846272521904,25675.0,13479.0,0.344256
159,IMG_2214_5.npy,maenet,24392,11199,0.31465820010676854,26058.0,12179.0,0.31851348
160,IMG_2215_4.npy,maenet,36371,253,0.006908038444735693,39369.0,0.0,0.0
161,IMG_2215_8.npy,maenet,23137,12619,0.3529197896856472,25402.0,13230.0,0.3424622
162,IMG_2217_12.npy,maenet,27797,9553,0.25576974564926375,28596.0,10051.0,0.26007193
163,IMG_2217_2.npy,maenet,38558,0,0.0,39213.0,0.0,0.0
164,IMG_2218_11.npy,maenet,28922,9955,0.2560639967075649,30204.0,9661.0,0.2423429
165,IMG_2218_12.npy,maenet,30960,7667,0.19848810417583557,30624.0,8165.0,0.21049783
166,IMG_2218_3.npy,maenet,38267,0,0.0,38127.0,0.0,0.0
167,IMG_2218_8.npy,maenet,40502,0,0.0,38218.0,0.0,0.0
168,IMG_2219_13.npy,maenet,25214,12059,0.32353177903576313,26342.0,12399.0,0.32004854
169,IMG_2301_6.npy,maenet,91529,0,0.0,39580.0,0.0,0.0
170,IMG_2301_7.npy,maenet,94092,0,0.0,40001.0,0.0,0.0
171,IMG_2301_8.npy,maenet,95768,0,0.0,39362.0,0.0,0.0
172,IMG_2310_9.npy,maenet,61560,20585,0.25059346277923183,29057.0,10027.0,0.25654998
173,IMG_2313_6.npy,maenet,55716,0,0.0,39338.0,0.0,0.0
174,IMG_2315_1.npy,maenet,37503,10267,0.2149256855767218,30579.0,8637.0,0.22024174
175,IMG_2317_3.npy,maenet,37338,7942,0.1753975265017668,31312.0,7106.0,0.18496539
176,IMG_2317_4.npy,maenet,31555,11728,0.2709608853360442,28241.0,9913.0,0.25981548
177,IMG_2317_5.npy,maenet,32584,11142,0.25481406943237433,28809.0,10357.0,0.26443854
178,IMG_2317_8.npy,maenet,36230,7766,0.17651604691335576,31949.0,7313.0,0.18626152
179,IMG_2317_9.npy,maenet,36764,8308,0.18432729854455093,31625.0,7358.0,0.18874894
180,IMG_2318_14.npy,maenet,50254,21105,0.29575806835858126,27179.0,11040.0,0.28886157
181,IMG_2318_15.npy,maenet,58432,10977,0.15814951951476033,32069.0,6211.0,0.16225183
182,IMG_5097_5.npy,maenet,539736,175561,0.24543790900842588,28994.0,10543.0,0.2666616
183,IMG_5097_6.npy,maenet,537893,180573,0.25133130864926106,28822.0,10330.0,0.26384348
184,IMG_5225_5.npy,maenet,531521,40154,0.0702392093409717,36836.0,2439.0,0.062100574
185,IMG_5226_2.npy,maenet,460267,118695,0.205013455114498,31195.0,7986.0,0.20382328
186,IMG_7042_10.npy,maenet,80229,0,0.0,39154.0,0.0,0.0
187,IMG_7042_27.npy,maenet,75149,0,0.0,40048.0,0.0,0.0
188,IMG_7042_28.npy,maenet,76369,0,0.0,38889.0,0.0,0.0
189,IMG_7042_6.npy,maenet,71767,5486,0.07101342342692193,35849.0,2991.0,0.07700824
190,IMG_7042_7.npy,maenet,72286,5189,0.06697644401419812,37069.0,2035.0,0.05204071
191,IMG_7044_27.npy,maenet,180521,0,0.0,39655.0,0.0,0.0
192,IMG_7044_8.npy,maenet,182391,2339,0.012661722513939263,38128.0,777.0,0.019971726
193,IMG_7045_12.npy,maenet,57153,15659,0.21506070427951438,31573.0,8765.0,0.21728891
194,IMG_7045_13.npy,maenet,66061,10527,0.13744973102835953,34229.0,5622.0,0.1410755
195,IMG_7045_23.npy,maenet,75185,3452,0.04389791065274616,37512.0,1795.0,0.045666166
196,IMG_7045_24.npy,maenet,74004,3300,0.04268860602297423,36753.0,2228.0,0.05715605
197,IMG_7045_8.npy,maenet,70794,4651,0.06164755782358009,36914.0,2549.0,0.06459215
198,IMG_7054_4.npy,maenet,400253,103035,0.20472373670741206,31058.0,7982.0,0.20445697
199,IMG_7055_5.npy,maenet,428385,76526,0.15156334482710815,32683.0,6484.0,0.16554752
200,IMG_7412_7.npy,maenet,186748,51747,0.2169731021614709,32206.0,8957.0,0.21759833
201,IMG_7414_9.npy,maenet,227262,40078,0.14991396723273734,34198.0,5662.0,0.14204717
202,IMG_7446_1.npy,maenet,153056,37745,0.19782391077614897,31961.0,7749.0,0.19513977
203,IMG_7446_4.npy,maenet,143560,48362,0.2519877867050156,29880.0,9391.0,0.23913321
204,IMG_7446_9.npy,maenet,131159,48827,0.2712822108386208,29269.0,9824.0,0.2512982
205,IMG_7447_1.npy,maenet,145064,37662,0.2061118833663518,31752.0,7720.0,0.19558167
206,IMG_7447_8.npy,maenet,136814,38769,0.2208015582374148,30472.0,8413.0,0.21635592
207,IMG_7449_2.npy,maenet,188830,64566,0.254802759317432,29398.0,9854.0,0.25104454
208,IMG_7449_3.npy,maenet,184025,71847,0.28079274012006,29197.0,9971.0,0.25457007
209,IMG_7450_1.npy,maenet,202095,53865,0.21044303797468356,31597.0,7852.0,0.1990418
210,IMG_7450_2.npy,maenet,196619,67284,0.2549573138615325,29375.0,9909.0,0.2522401
211,IMG_7451_9.npy,maenet,296066,62008,0.17317090880655953,31984.0,6798.0,0.1752875
212,IMG_7452_3.npy,maenet,271881,92250,0.25334289033342394,28869.0,10029.0,0.25782818
213,IMG_8548_5.npy,maenet,36786,0,0.0,39408.0,0.0,0.0
214,IMG_8552_15.npy,maenet,33461,0,0.0,38785.0,0.0,0.0
215,IMG_8554_15.npy,maenet,60804,0,0.0,39154.0,0.0,0.0
216,IMG_8556_13.npy,maenet,42141,0,0.0,39938.0,0.0,0.0
217,IMG_8556_8.npy,maenet,39107,0,0.0,39776.0,0.0,0.0
218,IMG_8558_16.npy,maenet,49730,0,0.0,39394.0,0.0,0.0
219,IMG_8564_11.npy,maenet,36529,9001,0.1976938282451131,31162.0,8165.0,0.20761818
220,IMG_8566_10.npy,maenet,87264,4633,0.05041513868787882,36083.0,2147.0,0.056160085
221,IMG_8566_13.npy,maenet,114348,0,0.0,39482.0,0.0,0.0
222,IMG_8566_17.npy,maenet,102825,0,0.0,39016.0,0.0,0.0
223,IMG_8570_17.npy,maenet,128582,0,0.0,39163.0,0.0,0.0
224,IMG_8572_13.npy,maenet,99902,12013,0.10734039226198454,33582.0,4797.0,0.12499023
225,IMG_8577_13.npy,maenet,56712,0,0.0,38575.0,0.0,0.0
226,IMG_8577_15.npy,maenet,54637,0,0.0,38606.0,0.0,0.0
227,IMG_8577_16.npy,maenet,55367,0,0.0,39215.0,0.0,0.0
228,IMG_8640_15.npy,maenet,51289,14258,0.2175233038888126,30188.0,8862.0,0.22693983
229,IMG_8640_7.npy,maenet,46442,7562,0.14002666469150432,33660.0,5239.0,0.13468212
230,IMG_8642_12.npy,maenet,53950,5653,0.09484421925070886,35295.0,4077.0,0.10355075
231,IMG_8642_16.npy,maenet,72872,7492,0.09322582250759047,35269.0,3541.0,0.09123937
232,IMG_8646_15.npy,maenet,57279,0,0.0,38463.0,0.0,0.0
233,IMG_8650_11.npy,maenet,43806,8517,0.16277736368327503,31426.0,7760.0,0.1980299
234,IMG_8650_4.npy,maenet,40721,11759,0.22406631097560975,29099.0,8609.0,0.228307
235,IMG_8654_8.npy,maenet,68242,13717,0.16736416988982297,32259.0,6485.0,0.16738075
236,IMG_8656_6.npy,maenet,57686,0,0.0,39238.0,0.0,0.0
237,IMG_8656_8.npy,maenet,66857,0,0.0,39804.0,0.0,0.0
238,IMG_8665_6.npy,maenet,66746,0,0.0,38762.0,0.0,0.0
239,IMG_8679_10.npy,maenet,95656,0,0.0,39288.0,0.0,0.0
240,IMG_8689_3.npy,maenet,54700,0,0.0,38999.0,0.0,0.0
241,IMG_8851_5.npy,maenet,58485,0,0.0,37303.0,0.0,0.0
242,IMG_8851_9.npy,maenet,83142,0,0.0,38983.0,0.0,0.0
243,IMG_8857_7.npy,maenet,88587,8818,0.09052923361223757,35652.0,2665.0,0.06955137
244,IMG_8857_9.npy,maenet,93941,20619,0.1799842877094972,33074.0,7674.0,0.18832827
245,IMG_8870_11.npy,maenet,48704,14098,0.22448329671029585,29569.0,9498.0,0.24312079
246,IMG_8870_13.npy,maenet,46106,13979,0.23265374053424315,30720.0,9035.0,0.22726701
247,IMG_8870_14.npy,maenet,45222,12184,0.21224262272236352,31500.0,7798.0,0.19843249
248,IMG_8872_14.npy,maenet,23509,9068,0.2783558952635295,28143.0,10591.0,0.27342904
249,IMG_8874_17.npy,maenet,26101,20317,0.4376965832220259,23021.0,16573.0,0.41857353
250,IMG_8876_14.npy,maenet,38123,24057,0.38689289160501766,24090.0,14302.0,0.3725255
251,IMG_8882_12.npy,maenet,37200,0,0.0,39069.0,0.0,0.0
252,IMG_8884_17.npy,maenet,62657,0,0.0,37679.0,0.0,0.0
253,IMG_8886_8.npy,maenet,71913,0,0.0,37253.0,0.0,0.0
254,IMG_8892_8.npy,maenet,75620,0,0.0,38938.0,0.0,0.0
255,IMG_8984_4.npy,maenet,50059,0,0.0,38605.0,0.0,0.0
256,IMG_8984_8.npy,maenet,49446,0,0.0,39216.0,0.0,0.0
257,IMG_8986_14.npy,maenet,66808,0,0.0,39173.0,0.0,0.0
258,IMG_8986_15.npy,maenet,68427,0,0.0,37786.0,0.0,0.0
259,IMG_8988_11.npy,maenet,66535,0,0.0,38756.0,0.0,0.0
260,IMG_8990_5.npy,maenet,48368,0,0.0,37310.0,0.0,0.0
261,IMG_8992_16.npy,maenet,73361,0,0.0,39213.0,0.0,0.0
262,IMG_9000_2.npy,maenet,55355,0,0.0,38973.0,0.0,0.0
263,IMG_9002_6.npy,maenet,44058,2428,0.05223077915931679,35861.0,2063.0,0.05439827
264,IMG_9008_9.npy,maenet,57467,30119,0.3438791587696664,21091.0,10788.0,0.3384046
265,IMG_9010_11.npy,maenet,40341,7871,0.16325811001410437,33061.0,6282.0,0.15967262
266,IMG_9010_8.npy,maenet,25117,9138,0.2667639760618888,28042.0,10193.0,0.2665882
267,IMG_9020_1.npy,maenet,50470,0,0.0,38464.0,0.0,0.0
268,IMG_9020_12.npy,maenet,51831,0,0.0,39422.0,0.0,0.0
269,IMG_9020_6.npy,maenet,45204,534,0.011675193493375311,34108.0,638.0,0.018361825
270,IMG_9024_11.npy,maenet,63757,0,0.0,35819.0,0.0,0.0
271,IMG_9030_8.npy,maenet,46474,0,0.0,38606.0,149.0,0.0038446651
272,IMG_9034_3.npy,maenet,42832,0,0.0,39356.0,0.0,0.0
273,IMG_9034_5.npy,maenet,41371,0,0.0,39131.0,0.0,0.0
274,IMG_9040_10.npy,maenet,61816,0,0.0,38960.0,0.0,0.0
275,IMG_9042_8.npy,maenet,49419,0,0.0,38178.0,0.0,0.0
276,IMG_9044_5.npy,maenet,45933,0,0.0,38235.0,0.0,0.0
277,IMG_9056_16.npy,maenet,58666,10783,0.15526501461504125,32079.0,6100.0,0.15977369
278,IMG_9056_8.npy,maenet,26698,13989,0.3438198933320225,22989.0,11426.0,0.3320064
279,IMG_9064_10.npy,maenet,85192,18323,0.17700816306815437,26924.0,5086.0,0.15888785
280,IMG_9064_16.npy,maenet,82150,14552,0.15048292693015655,29928.0,5254.0,0.14933772
281,IMG_9066_6.npy,maenet,28401,13132,0.31618231285965376,26788.0,12568.0,0.3193414
282,IMG_9066_7.npy,maenet,27970,15834,0.3614738380056616,25744.0,12895.0,0.33373016
283,IMG_9070_6.npy,maenet,45844,1762,0.03701214132672352,34396.0,1427.0,0.03983474
284,IMG_9072_7.npy,maenet,46111,8953,0.1625926194973122,32143.0,6210.0,0.16191693
285,IMG_9091_2.npy,maenet,57627,0,0.0,39454.0,0.0,0.0
286,IMG_9093_12.npy,maenet,53384,0,0.0,37474.0,0.0,0.0
287,IMG_9093_13.npy,maenet,53572,0,0.0,38069.0,0.0,0.0
288,IMG_9095_6.npy,maenet,57573,0,0.0,39279.0,0.0,0.0
289,IMG_9095_8.npy,maenet,60692,0,0.0,38946.0,0.0,0.0
290,IMG_9097_12.npy,maenet,56056,0,0.0,37628.0,0.0,0.0
291,IMG_9103_1.npy,maenet,37571,13681,0.2669359244517287,27179.0,9925.0,0.26749137
292,IMG_9103_4.npy,maenet,27162,16677,0.3804146992404024,23111.0,14874.0,0.39157563
293,IMG_9103_6.npy,maenet,39390,11251,0.22217175806164965,29573.0,8939.0,0.23210947
294,IMG_9105_12.npy,maenet,29793,22432,0.42952608903781714,23498.0,15602.0,0.39902812
295,IMG_9105_16.npy,maenet,83015,13670,0.14138697833169572,33932.0,4759.0,0.12300018
